Values,0.0,0.125,0.25,0.5,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,30.0
0,12,15,23,17,14,27,21,9,9,6,10,9,4,1,7,1,1,1,0,3,2,1,0,1,1,0,2,1,0,0,0,0,0
1,22,11,21,22,23,23,17,7,15,10,6,4,5,7,6,0,4,3,0,1,0,2,0,1,1,0,0,0,0,0,0,0,2
2,18,15,24,25,27,25,31,26,28,11,8,8,8,3,4,5,6,3,2,0,2,1,3,0,0,1,0,0,0,0,5,5,0
3,2,5,8,13,16,15,22,13,18,11,4,12,9,5,3,2,4,1,3,2,1,0,0,2,0,0,1,1,1,0,0,0,1
4,2,0,2,3,3,16,9,3,9,0,1,5,1,4,1,2,0,1,0,1,0,1,1,0,2,0,1,1,1,0,0,0,0
5,1,0,0,1,0,2,2,1,4,0,0,1,2,2,0,2,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0
6,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
